time_ms,ax,ay,az,gx,gy,gz,temp
486,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
544,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
601,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
658,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
715,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
772,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
829,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
886,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
943,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1000,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1057,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1114,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1171,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1228,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1285,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1342,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1399,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1456,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1513,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1570,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1627,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1684,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1741,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1798,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1855,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1912,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
1969,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2026,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2083,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2140,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2197,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2254,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2311,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2368,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2425,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2482,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2539,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2596,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2653,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2710,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2767,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2824,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2881,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2938,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
2995,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3052,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3109,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3166,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3223,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3280,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3337,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3394,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3451,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3508,-6.86,-8.83,9.81,0.00,0.00,0.00,24.00
3565,-5.88,-8.83,9.81,0.00,0.00,0.00,24.00
3622,3.92,-8.83,9.81,0.00,0.00,0.00,24.00
3679,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
3736,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
3793,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
3850,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
3907,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
3964,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4021,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4078,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4135,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4192,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4249,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4306,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4363,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4420,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4477,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4534,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4591,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4648,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4705,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4762,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4819,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4876,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4933,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
4990,5.39,-8.83,9.81,0.00,0.00,0.00,24.00
5047,5.39,-12.26,9.81,0.00,0.00,0.00,24.00
5104,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5161,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5218,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5275,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5332,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5389,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5446,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5503,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5560,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5617,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5674,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5731,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5788,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5845,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5902,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
5959,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6016,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6073,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6130,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6187,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6244,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6301,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6358,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6415,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6472,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6529,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6586,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6643,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6700,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6757,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6814,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6871,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6928,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
6985,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
7042,5.39,-16.18,9.81,0.00,0.00,0.00,24.00
7099,5.39,-16.18,11.77,0.00,0.00,0.00,24.00
7156,5.39,-16.18,12.75,0.00,0.00,0.00,24.00
7213,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7270,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7327,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7384,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7441,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7498,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7555,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7612,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7669,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7726,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7783,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
